"Accreditation status","Accredited(Expiry date)","Beds-Private beds (not publicly funded)","Beds-Publicly funded beds (short- and long-term)","Beds-Special Care Plus Unit beds","Beds-Total beds","Care Quality(BC Avg)-% of residents diagnosed with depression","Care Quality(BC Avg)-% of residents receiving depression medication","Care Quality(BC Avg)-% of residents receiving occupational therapy","Care Quality(BC Avg)-% of residents receiving physical therapy","Care Quality(BC Avg)-% of residents receiving recreation therapy","Care Quality(BC Avg)-Daily physical restraints","Care Quality(BC Avg)-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Facility (not including special care unit))-% of residents diagnosed with depression","Care Quality(Facility (not including special care unit))-% of residents receiving depression medication","Care Quality(Facility (not including special care unit))-% of residents receiving occupational therapy","Care Quality(Facility (not including special care unit))-% of residents receiving physical therapy","Care Quality(Facility (not including special care unit))-% of residents receiving recreation therapy","Care Quality(Facility (not including special care unit))-Daily physical restraints","Care Quality(Facility (not including special care unit))-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Facility)-% of residents diagnosed with depression","Care Quality(Facility)-% of residents receiving depression medication","Care Quality(Facility)-% of residents receiving occupational therapy","Care Quality(Facility)-% of residents receiving physical therapy","Care Quality(Facility)-% of residents receiving recreation therapy","Care Quality(Facility)-Daily physical restraints","Care Quality(Facility)-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Special Care Plus Unit)-% of residents diagnosed with depression","Care Quality(Special Care Plus Unit)-% of residents receiving depression medication","Care Quality(Special Care Plus Unit)-% of residents receiving occupational therapy","Care Quality(Special Care Plus Unit)-% of residents receiving physical therapy","Care Quality(Special Care Plus Unit)-% of residents receiving recreation therapy","Care Quality(Special Care Plus Unit)-Daily physical restraints","Care Quality(Special Care Plus Unit)-Taken antipsychotics without a diagnosis of psychosis","City/postal code","Complaints-Number of complaints","Complaints-Number of licensing complaints","Complaints-Number substantiated complaints","Complaints-Number substantiated licensing complaints","Contact for complaints","Councils","Current language(s) spoken by staff","Date of last inspection","Date of last licensing inspection","Facility","Food prepared and cooked on site","Food services provided by:","Funded Allied Health hours per resident per day","Funded nursing care hours per resident per day","Health authority","Incidents-Abuse/neglect(BC Avg / 100 beds)","Incidents-Abuse/neglect(Per 100 beds)","Incidents-Abuse/neglect(Total Number)","Incidents-Aggression between persons in care(BC Avg / 100 beds)","Incidents-Aggression between persons in care(Per 100 beds)","Incidents-Aggression between persons in care(Total Number)","Incidents-Disease outbreak or occurrence(BC Avg / 100 beds)","Incidents-Disease outbreak or occurrence(Per 100 beds)","Incidents-Disease outbreak or occurrence(Total Number)","Incidents-Fall with injury/Adverse event(BC Avg / 100 beds)","Incidents-Fall with injury/Adverse event(Per 100 beds)","Incidents-Fall with injury/Adverse event(Total Number)","Incidents-Food or other poisoning(BC Avg / 100 beds)","Incidents-Food or other poisoning(Per 100 beds)","Incidents-Food or other poisoning(Total Number)","Incidents-Medication error with adverse event(BC Avg / 100 beds)","Incidents-Medication error with adverse event(Per 100 beds)","Incidents-Medication error with adverse event(Total Number)","Incidents-Missing or wandering person(BC Avg / 100 beds)","Incidents-Missing or wandering person(Per 100 beds)","Incidents-Missing or wandering person(Total Number)","Incidents-Other injury(BC Avg / 100 beds)","Incidents-Other injury(Per 100 beds)","Incidents-Other injury(Total Number)","Incidents-Serious adverse events(Total)","Meetings held","Opened","Operator (name)","Personal spending account (comfort fund)","Phone number","Phone number of complaint contact","Reason for inspection","Reason for licensing inspection","Regulation/Legislation","Room Configuration-Multi-person rooms","Room Configuration-Private rooms","Room Configuration-Semi-private rooms","Service Included-Other fees","Service Included-Personal cable monthly service","Service Included-Personal internet monthly service","Service Included-Personal telephone monthly service","Street address","Total 2015/16 funded direct care hours per resident per day","Visitor parking (cost)"
"Commendation","Yes (Info not available)","0","85","","85","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","37.3%","63.8%","46.7%","36.1%","59.0%","7.6%","41.8%","","","","","","","","Vernon, BC V1T 9C3","","0","","0","Resident Care Coordinator / Manager","Separate Resident and Family","English, French, Cantonese, Mandarin, South Asian languages, German, Hungarian, Filipino, Spanish, Russian","","06 Jan 2016","Noric House","Primarily","Operator","0.34","2.85","Interior Health","1.0","1.2","1","1.5","0.0","0","0.7","0.0","0","11.9","16.5","14","0.1","0.0","0","0.2","0.0","0","1.6","3.5","3","1.6","1.2","1","","Regular Schedule","1978","Interior Health","Yes","(250) 545-9167","(250) 545-9167","","Monitoring","Community Care and Assisted Living Act","0","85","0"," ","No","No","No","1400 Mission Rd","3.19","Yes (no fee)"
"Exemplary","Yes (Nov 2018)","0","100","","100","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","19.8%","44.0%","Info not available","1.7%","1.0%","9.8%","18.8%","","","","","","","","Burnaby, BC V3N 5B6","","2","","1","Margaret Douglas-Matthews","Separate and Combined Resident and Family Councils","Filipino, Punjabi, Cantonese, Mandarin, English, Guajarati, Hindi, Polish, Swahili","","01 Mar 2016","Normanna","Yes","Outside Contractor","0.33","2.65","Fraser Health","1.0","0.0","0","1.5","3.0","3","0.7","1.0","1","11.9","13.0","13","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","2.0","2","","Regular Schedule","2000","Norwegian Old Peoples Association","Yes","(604) 522-5812","(604) 515-3330","","01 Mar 2016","Community Care and Assisted Living Act","0","90","5","Drugs and specialty services, transportation not otherwise covered","No","No","No","7725-4th St","2.98","Yes (no fee)"
"Accredited","Yes (Oct 2019)","0","106","","106","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","17.5%","56.9%","0.9%","13.9%","74.9%","33.3%","17.3%","","","","","","","","Delta, BC V4E 2A7","","1","","0","Executive Director","Separate Resident and Family","Ukrainian, English, Punjabi, Hindi, Tagalog, Urdu, Japanese, Korean, Cantonese, Mandarin","","24 Nov 2015","Northcrest Care Centre","Yes","Outside Contractor","0.37","2.88","Fraser Health","1.0","0.0","0","1.5","0.9","1","0.7","0.9","1","11.9","7.5","8","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","Info not available","Northcrest Care Centre Ltd.","Yes","(604) 597-7878","(604) 597-7878 ext 222","","Routine","Community Care and Assisted Living Act","0","90","8"," ","No","Yes","No","6771-120th Street","3.24","Yes (no fee)"
"Info not available","Yes (June 2018)","0","5","","5","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","Suppressed","Suppressed","Suppressed","Suppressed","Suppressed","Suppressed","Suppressed","","","","","","","","Masset, BC V0T 1M0","","Suppressed","","Suppressed","Nurse Manager","No Councils","English","","11 Apr 2012","Northern Haida Gwaii Hospital and Health Centre","Yes","Operator","Info not available","Info not available","Northern Health","1.0","Suppressed","Suppressed","1.5","Suppressed","Suppressed","0.7","Suppressed","Suppressed","11.9","Suppressed","Suppressed","0.1","Suppressed","Suppressed","0.2","Suppressed","Suppressed","1.6","Suppressed","Suppressed","1.6","Suppressed","Suppressed","","N/A","2008","Northern Health","Yes","(250) 626-4700","(250) 626-4726","","Routine","Hospital Act","0","4","0"," ","N/A","N/A","N/A","2520 Harrison Avenue","Info not available","Yes (no fee)"
"Commendation","Yes (Oct 2017)","0","235","","235","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","39.8%","52.8%","1.5%","Info not available","Info not available","8.5%","39.1%","","","","","","","","Victoria, BC V8R 5H3","","29","","1","Executive Director","Resident only","Cantonese, Mandarin, Urdu, Punjabi, Hindi, Tagalog, Dutch, French","","25 Apr 2016","Oak Bay Lodge","Yes","Operator","0.37","2.80","Vancouver Island","1.0","0.0","0","1.5","8.9","21","0.7","0.9","2","11.9","19.6","46","0.1","0.0","0","0.2","0.4","1","1.6","6.4","15","1.6","0.0","0","","Regular Schedule","1972","Vancouver Island Health","Yes","(250) 370-6605","(250) 370-1600","","Follow-up","Community Care and Assisted Living Act","0","88","69"," ","No","N/A","No","2251 Cadboro Bay Rd.","3.16","Yes (fee charged)"
"Accredited","Yes (Oct 2019)","0","38","","38","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","38.1%","55.8%","8.8%","12.2%","Info not available","17.3%","33.8%","","","","","","","","Keremeos, BC V0X 1N0","","7","","4","Care Coordinator / Manager","Separate and Combined Resident and Family Councils","English, Punjabi","","13 Jun 2016","Orchard Haven (South Similkameen Health Centre)","Yes","Operator","0.45","2.94","Interior Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","7.9","3","0.1","0.0","0","0.2","0.0","0","1.6","2.6","1","1.6","0.0","0","","Regular Schedule","2001","Interior Health","Yes","(250) 499-3030","(250) 499-3000 / (250) 499-3036","","Monitoring","Community Care and Assisted Living Act","0","38","0"," ","No","No","No","700 3rd St","3.39","Yes (no fee)"
"Accredited","Yes (Oct 2019)","0","183","","183","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","34.5%","58.9%","7.4%","28.1%","62.3%","6.4%","28.8%","","","","","","","","Kamloops, BC V2B 7Z9","","0","","0","Manager / Assistant Manager / Resident Care Coordinator","Separate and Combined Resident and Family Councils","English, Filipino, Hindi, French, Aboriginal dialects","","13 Jun 2016","Overlander","Primarily","Operator","0.36","2.87","Interior Health","1.0","1.6","3","1.5","0.5","1","0.7","2.7","5","11.9","11.5","21","0.1","0.0","0","0.2","0.5","1","1.6","2.7","5","1.6","1.1","2","","Regular Schedule","1976","Interior Health","Yes","(250) 554-2323","(250) 544-6035","","Monitoring","Hospital Act","30","35","14"," ","No","No","No","953 Southill Street","3.23","Yes (no fee)"
"Accredited","Yes ( 2018)","0","58","","58","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","29.1%","48.6%","1.9%","Info not available","73.8%","21.4%","19.9%","","","","","","","","Prince George, BC V2M 6Y2","","1","","0","Clinical Coordinator","Separate and Combined Resident and Family Councils","English, French, Ukrainian, Punjabi, Serbian, Croatian","","18 Feb 2016","Parkside","Primarily","Operator","Info not available","2.82","Northern Health","1.0","0.0","0","1.5","6.9","4","0.7","1.7","1","11.9","5.2","3","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","8.6","5","","Regular Schedule","1983","Northern Health","Yes","(250) 563-1916","(250) 645-6425","","Routine","Community Care and Assisted Living Act","0","58","0","Drugs not covered elsewhere","No","No","No","788 Ospika Boulevard","2.89","Yes (no fee)"
"Accredited","Yes (Sep 2018)","0","31","","31","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","28.3%","47.5%","Info not available","Info not available","41.3%","5.6%","22.3%","","","","","","","","Enderby, BC V0E 1V0","","1","","0","Program Leader","Separate Resident and Family","English, French, Russian","","08 Jan 2016","Parkview Place","Yes","Operator","0.38","2.80","Interior Health","1.0","3.2","1","1.5","0.0","0","0.7","3.2","1","11.9","16.1","5","0.1","0.0","0","0.2","0.0","0","1.6","3.2","1","1.6","9.7","3","","Regular Schedule","1995","Interior Health","Yes","(250) 838-2470","(250) 838-2478","","Monitoring","Community Care and Assisted Living Act","0","31","0"," ","No","No","No","707 3rd Ave","3.18","Yes (no fee)"
"Accredited","Yes (Oct 2018)","0","234","","234","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","20.7%","49.9%","15.3%","10.7%","71.8%","4.5%","13.5%","","","","","","","","White Rock, BC V4B 2R4","","0","","0","Patient Care Quality Office","Separate Resident and Family","English, Tagalog, Punjabi, Hindi, Spanish, Farsi, Vietnamese, Korean, French, Spanish, Cantonese, Mandarin, Italian","","11 Mar 2016","Peace Arch ECU-Hogg and Weatherby Pavilions","No","Operator","0.40","3.10","Fraser Health","1.0","0.0","0","1.5","0.0","0","0.7","0.9","2","11.9","8.1","19","0.1","0.0","0","0.2","0.0","0","1.6","0.4","1","1.6","0.4","1","","Regular Schedule","Info not available","Fraser Health","Yes","(604) 531-5512","(877) 880-8823","","Routine","Hospital Act","12","30","78"," ","No","No","No","15521 Russell Ave","3.50","Yes (no fee)"
"Info not available","Yes","56","62","","118","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","21.9%","47.3%","3.3%","3.7%","43.6%","17.6%","21.8%","","","","","","","","White Rock, BC V4A 8T8","","2","","1","Info not available","Separate Resident and Family","Info not available","","15 Sep 2016","Peace Portal Lodge","Yes","Operator","0.26","2.33","Fraser Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","5.1","6","0.1","0.0","0","0.2","0.0","0","1.6","0.8","1","1.6","2.5","3","","Regular Schedule","Info not available","Retirement Concepts","Info not available","(604) 535-2273","Info not available","","Routine","Community Care and Assisted Living Act","0","67","7"," ","No","No","No","15441 - 16th Avenue","2.60","Info not available"
"Accredited","Yes (Jun 2018)","0","123","","124","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","12.1%","51.1%","Info not available","8.8%","0.4%","37.2%","34.6%","","","","","","","","Fort St. John, BC V1J 0J5","","Info not available","","Info not available","Residential Care Manager","Combined Resident and Family Councils","English","","03 Nov 2016","Peace Villa","Yes","Operator","Info not available","3.17","Northern Health","1.0","0.0","0","1.5","0.0","0","0.7","1.7","2","11.9","5.8","7","0.1","0.0","0","0.2","0.0","0","1.6","0.8","1","1.6","0.0","0","","Regular Schedule","2012","Northern Health","Yes","(250) 261-7450","(250) 261-7451","","Follow-up","Community Care and Assisted Living Act","0","124","0"," ","Yes","Yes","No","8407 112 Avenue","3.26","Yes (no fee)"
"Accredited","Yes (May 2018)","8","51","","59","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","15.5%","47.4%","Info not available","Info not available","18.5%","3.1%","16.1%","","","","","","","","Salmon Arm, BC V1E 1T2","","0","","0","Administrator","Combined Resident and Family Councils","English, German, Dutch, Malayan, Hindi, Tamil, Kannada, Finnish, French","","04 Nov 2016","Picadilly Care Centre","Yes","Operator","0.35","2.80","Interior Health","1.0","0.0","0","1.5","6.8","4","0.7","1.7","1","11.9","28.8","17","0.1","0.0","0","0.2","3.4","2","1.6","0.0","0","1.6","1.7","1","","Regular Schedule","2007","Park Place Seniors Living Inc.","Yes","(250) 804-1676","(250) 804-1676 ext 102","","Monitoring","Community Care andAssisted Living Act","0","46","7"," ","No","No","No","821 10th Avenue SW","3.15","Yes (no fee)"
"Exemplary","Yes (2017)","20","43","","63","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","6.6%","37.5%","8.0%","6.2%","32.4%","4.5%","34.0%","","","","","","","","West Kelowna, BC V4T 2H4","","1","","0","Director of Care / Administrator","Separate Resident and Family","English, Tagalog","","15 Dec 2015","Pine Acres Home","Yes","Operator","0.35","2.80","Interior Health","1.0","3.2","2","1.5","4.8","3","0.7","0.0","0","11.9","15.9","10","0.1","0.0","0","0.2","0.0","0","1.6","4.8","3","1.6","1.6","1","","Info not available","1988","Westbank First Nation Development Co. Ltd.","Yes","(250) 768-7676","(250) 768-7676","","Monitoring","Community Care and Assisted Living Act","0","33","5"," ","No","Yes","No","1902 Pheasant Lane","3.15","Yes (no fee)"
"Accredited","Yes (May 2018)","0","75","","75","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","32.7%","46.7%","Info not available","27.1%","1.0%","9.5%","28.2%","","","","","","","","Kamloops, BC V2B 2N8","","1","","0","Administrator","Separate and Combined Resident and Family Councils","English, Italian, Tagalog, Urdu, Hindi, Punjabi, Cantonese, Mandarin","","02 May 2016","Pine Grove Lodge","Yes","Operator","0.35","2.80","Interior Health","1.0","1.3","1","1.5","0.0","0","0.7","1.3","1","11.9","8.0","6","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","2.7","2","","Regular Schedule","1981","0697790 BC Ltd","Yes","(250) 376-5701","(250) 376-5701 ext 501","","Monitoring","Community Care and Assisted Living Act","0","14","31"," ","No","No","No","313 Mcgowan Street","3.15","Yes (no fee)"
"Commendation","Yes (Nov 2018)","0","75","","75","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","14.8%","42.5%","0.3%","0.3%","78.2%","5.5%","36.8%","","","","","","","","Richmond, BC V6X 1L8","","1","","1","Administrator / Director of Care","Combined Resident and Family Council","English, Tagalog, Mandarin, Cantonese, Fukien, Hakka, Teochew, Malaysian, German, French, Spanish, Hindi, Punjabi, Tigrigna, Amharic, Shanghainese","","23 Sep 2016","Pinegrove Place","Yes","Operator","0.28","2.54","Vancouver Coastal","1.0","0.0","0","1.5","1.3","1","0.7","0.0","0","11.9","16.0","12","0.1","0.0","0","0.2","0.0","0","1.6","10.7","8","1.6","0.0","0","","Regular Schedule","1983","Mennonite Intermediate Care Home Society of Richmond","Yes","(604) 278-1296","(604) 278-1296","","Routine","Community Care and Assisted Living Act","0","75","0","Clothing labelling fee","No","Yes","No","11331 Mellis Drive","2.82","Yes (no fee)"
"Accredited","Yes (Sep 2018)","0","82","","82","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","33.5%","63.8%","8.5%","17.2%","58.6%","9.9%","35.3%","","","","","","","","Armstrong, BC V0E 1B2","","0","","0","Manager / Care Coordinator","Separate Resident and Family","English, French","","Info not available","Pleasant Valley Manor","Yes","Operator","0.31","2.90","Interior Health","1.0","0.0","0","1.5","2.4","2","0.7","0.0","0","11.9","4.9","4","0.1","1.2","1","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","1995","Interior Health","Yes","(250) 546-4707","(250) 546-4707","","Info not available","Hospital Act","0","82","0"," ","No","No","No","3800 Patten Dr.","3.21","Yes (no fee)"
"N/A","No","4","67","","71","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","25.7%","44.0%","Info not available","3.5%","4.1%","18.4%","19.6%","","","","","","","","Vancouver, BC V6K 1B9","","Info not available","","Info not available","Site Leader / Manager","Resident only","English, Tagalog","","26 Oct 2015","Point Grey Private Hospital","Yes","Outside Contractor","0.14","2.57","Vancouver Coastal","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","1.4","1","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","1.4","1","","Regular Schedule","1979","Point Grey Private Hosptial Ltd.","Yes","(604) 733-7133","(604) 733-7133","","Follow-up","Hospital Act","0","31","20","Hairdresser, foot care","No","No","No","2423 Cornwall Street","2.71","Yes (no fee)"
"Accredited","Yes (Oct 2019)","0","97","","97","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","37.2%","60.6%","11.0%","12.4%","35.9%","13.0%","25.6%","","","","","","","","Vernon, BC V1T 5L2","","0","","0","Manager / Resident Care Coordinator","Separate Resident and Family","English","","03 Feb 2016","Polson Place (Vernon Jubilee Hospital)","No","Operator","0.36","2.90","Interior Health","1.0","0.0","0","1.5","2.1","2","0.7","1.0","1","11.9","17.5","17","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","3.1","3","","Regular Schedule","1980","Interior Health","Yes","(250) 558-1200","(250) 558-1318 / (250) 558-1346","","Monitoring","Hospital Act","16","15","9"," ","No","No","No","2101 32nd Street","3.26","Yes (no fee)"
"Accredited","Yes (2018)","0","92","","92","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","13.5%","47.5%","12.6%","29.8%","Info not available","1.5%","25.5%","","","","","","","","Kamloops, BC V2C 2T4","","0","","0","Manager","Family only","English, Mandarin, French, Spanish, Croatian, Polish, Tagalog, Indonesian","","21 Mar 2016","Ponderosa Lodge","No","Outside Contractor","0.36","2.85","Interior Health","1.0","0.0","0","1.5","0.0","0","0.7","2.2","2","11.9","10.9","10","0.1","0.0","0","0.2","0.0","0","1.6","1.1","1","1.6","1.1","1","","Regular Schedule","1979","Interior Health","Yes","(250) 374-5671","(250) 851-4439","","Monitoring","Community Care and Assisted Living Act","0","90","1"," ","No","No","No","425 Columbia St","3.21","Yes (no fee)"
"Accredited","Yes (Oct 2019)","0","49","","49","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","27.8%","54.6%","8.8%","8.8%","72.3%","0.3%","38.6%","","","","","","","","Trail, BC V1R 4M1","","0","","0","Residential Care Coordinator / Social Worker","Separate Resident and Family","English, Italian, Filipino, Hindi","","08 May 2015","Poplar Ridge Pavilion (Kootenay Boundary Hospital)","Primarily","Operator","0.38","2.85","Interior Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","4.1","2","0.1","0.0","0","0.2","0.0","0","1.6","4.1","2","1.6","0.0","0","","Regular Schedule","1972","Interior Health","Yes","(250) 368-3311","250-368-3311 ext 2226","","Monitoring","Hospital Act","4","5","14"," ","No","No","No","1200 Hospital Bench","3.23","Yes (no fee)"
"Accredited","Yes (Dec 2016)","0","75","","75","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","14.1%","54.1%","Info not available","2.4%","1.3%","10.4%","39.7%","","","","","","","","Powell River, BC V8A 5P2","","Info not available","","Info not available","Manager / Residential Care Coordinator","Separate and Combined Resident and Family Councils","English, Dutch, Russian, Italian, Filipino, French","","03 May 2016","Powell River General Hospital – Evergreen ECU","Yes","Outside Contractor","0.23","2.75","Vancouver Coastal","1.0","0.0","0","1.5","1.3","1","0.7","0.0","0","11.9","1.3","1","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","1980","Vancouver Coastal Health","Yes","(604) 485-2208","(604) 485-3237","","Routine","Hospital Act","15","6","4","Personal Care fee for personal items","No","No","No","4970 Joyce Ave.","2.98","Yes (no fee)"
"Accredited","Yes (Sep 2016)","0","199","","199","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","18.9%","43.8%","9.7%","34.6%","4.8%","5.0%","33.1%","","","","","","","","Vancouver, BC V6T 1Z9","","1","","0","Manager","Separate Resident and Family","English, various","","22 Jun 2016","Purdy Pavilion","Yes","Outside Contractor","0.30","2.86","Vancouver Coastal","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","3.5","7","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","1980","Vancouver Coastal Health","Yes","(604) 822-7121","(604) 822-7289","","Routine","Hospital Act","60","23","0"," ","No","No","No","2221 Wesbrook Mall","3.16","Yes (Reduced rate)"
"Primer","Yes (Feb 2019)","25","35","","60","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","20.7%","58.5%","0.7%","0.7%","Info not available","23.1%","39.1%","","","","","","","","Qualicum Beach, BC V9K 1N6","","1","","1","Director of Care","Combined Resident and Family Council","English, Tagalog, French","","09 Jun 2016","Qualicum Manor","Yes","Operator","Info not available","Info not available","Vancouver Island","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","5.0","3","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","2005","Qualicum Manor Ltd","Yes","(250) 752-1262","(250) 752-1262 ext 4","","Follow-up","Community Care and Assisted Living Act","0","34","13"," ","No","Yes","No","124 Fourth Ave East","3.12","Yes (no fee)"
"Info not available","Yes","0","8","","8","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","33.3%","88.9%","Info not available","55.6%","44.4%","9.9%","44.9%","","","","","","","","Queen Charlotte, BC V0T 1S0","","Info not available","","Info not available","Info not available","No Councils","Info not available","","10 Apr 2012","Queen Charlotte Islands General Hospital","Yes","Operator","Info not available","Info not available","Northern Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","0.0","0","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","No Meetings","1950","Northern Health","Info not available","(250) 559-4300","Info not available","","Routine","Hospital Act","2","0","2"," ","Yes","No","No","3209 Oceanview Drive","Info not available","Info not available"
